financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2021-2022,2022,SPORTS GOODS,268.56,376.17,40.07,0.09,March
2021-2022,2022,CHEMICALS & RELATED PRODUCTS,48262.27,56300.03,16.65,13.34,March
2021-2022,2022,PLASTIC & RUBBER ARTICLES,8062.51,10625.98,31.79,2.52,March
2021-2022,2022,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,5662.1,6446.67,13.86,1.53,March
2021-2022,2022,PAPER & RELATED PRODUCTS,3412.93,5268.42,54.37,1.25,March
2021-2022,2022,BASE METALS,27655.48,47257.32,70.88,11.2,March
2021-2022,2022,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2225.41,2903.04,30.45,0.69,March
2021-2022,2022,ELECTORONICS ITEMS,11093.29,15660.38,41.17,3.71,March
2021-2022,2022,MACHINERY,25993.91,35281.78,35.73,8.36,March
2021-2022,2022,OFFICE EQUIPMENTS,151.1,209.56,38.69,0.05,March
2021-2022,2022,TRANSPORT EQUIPMENTS,20265.79,25976.91,28.18,6.16,March
2021-2022,2022,PROJECT GOODS,2.27,3.78,66.4,0,March
2021-2022,2022,TEXTILES & ALLIED PRODUCTS,30354.03,42915.54,41.38,10.17,March
2021-2022,2022,PETROLEUM CRUDE & PRODUCTS,25804.37,67471.7,161.47,15.99,March
2021-2022,2022,OTHERS,6070.07,8071.56,32.97,1.91,March
2022-2023,2023,PLANTATION,1779.04,1970.18,10.74,0.44,March
2022-2023,2023,AGRI & ALLIED PRODUCTS,37841.09,42299.96,11.78,9.38,March
2022-2023,2023,MARINE PRODUCTS,7772.36,8077.98,3.93,1.79,March
2022-2023,2023,ORES & MINERALS,6085.42,4869.13,-19.99,1.08,March
2022-2023,2023,LEATHER & LEATHER MANUFACTURES,4658.53,4975.95,6.81,1.1,March
2022-2023,2023,GEMS & JEWELLERY,39099.11,37956.99,-2.92,8.41,March
2022-2023,2023,SPORTS GOODS,376.17,374.47,-0.45,0.08,March
2022-2023,2023,CHEMICALS & RELATED PRODUCTS,56300.03,57427.28,2,12.73,March
2022-2023,2023,PLASTIC & RUBBER ARTICLES,10625.98,9336.19,-12.14,2.07,March
2022-2023,2023,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,6446.67,6358.13,-1.37,1.41,March
2022-2023,2023,PAPER & RELATED PRODUCTS,5268.42,4815.09,-8.6,1.07,March
2022-2023,2023,BASE METALS,47257.32,36675.36,-22.39,8.13,March
2022-2023,2023,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2903.04,3732.16,28.56,0.83,March
2022-2023,2023,ELECTORONICS ITEMS,15660.38,23553.35,50.4,5.22,March
2022-2023,2023,MACHINERY,35281.78,38162.11,8.16,8.46,March
2022-2023,2023,OFFICE EQUIPMENTS,209.56,297.55,41.99,0.07,March
2022-2023,2023,TRANSPORT EQUIPMENTS,25976.91,27981.84,7.72,6.2,March
2022-2023,2023,PROJECT GOODS,3.78,2,-47.11,0,March
2022-2023,2023,TEXTILES & ALLIED PRODUCTS,42915.54,35359.4,-17.61,7.84,March
2022-2023,2023,PETROLEUM CRUDE & PRODUCTS,67471.7,97468.45,44.46,21.61,March
2022-2023,2023,OTHERS,8071.56,9376.44,16.17,2.08,March
2023-2024,2024,PLANTATION,1970.18,2119,7.55,0.48,March
2023-2024,2024,AGRI & ALLIED PRODUCTS,42299.96,38197,-9.7,8.74,March
2023-2024,2024,MARINE PRODUCTS,8077.98,7372,-8.74,1.69,March
2023-2024,2024,ORES & MINERALS,4869.13,6688.94,37.37,1.53,March
2023-2024,2024,LEATHER & LEATHER MANUFACTURES,4975.95,4467.85,-10.21,1.02,March
2023-2024,2024,GEMS & JEWELLERY,37956.99,32706.94,-13.83,7.48,March
