financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2014-2015,2015,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2047.01,2373.87,15.97,0.53,March
2014-2015,2015,PAPER & RELATED PRODUCTS,7402.22,7636.46,3.16,1.7,March
2014-2015,2015,BASE METALS,21563.13,27046.58,25.43,6.04,March
2014-2015,2015,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4156.11,4283.47,3.06,0.96,March
2014-2015,2015,ELECTORONICS ITEMS,33237.99,37540.31,12.94,8.38,March
2014-2015,2015,MACHINERY,30249.17,31340.19,3.61,7,March
2014-2015,2015,OFFICE EQUIPMENTS,129.03,161.5,25.16,0.04,March
2014-2015,2015,TRANSPORT EQUIPMENTS,16167.51,15287.74,-5.44,3.41,March
2014-2015,2015,PROJECT GOODS,4551.03,3631.43,-20.21,0.81,March
2014-2015,2015,TEXTILES & ALLIED PRODUCTS,4835.93,5512.44,13.99,1.23,March
2014-2015,2015,PETROLEUM CRUDE & PRODUCTS,164764.69,138325.51,-16.05,30.87,March
2014-2015,2015,OTHERS,13902.12,11338.33,-18.44,2.53,March
2015-2016,2016,PLANTATION,1034.06,895.75,-13.38,0.24,March
2015-2016,2016,AGRI & ALLIED PRODUCTS,19004.14,20673.66,8.79,5.43,March
2015-2016,2016,MARINE PRODUCTS,73.93,97.23,31.52,0.03,March
2015-2016,2016,ORES & MINERALS,26917.86,20684.03,-23.16,5.43,March
2015-2016,2016,LEATHER & LEATHER MANUFACTURES,1092.62,1031.28,-5.61,0.27,March
2015-2016,2016,GEMS & JEWELLERY,62351.34,56508.62,-9.37,14.83,March
2015-2016,2016,SPORTS GOODS,201.29,221.01,9.79,0.06,March
2015-2016,2016,CHEMICALS & RELATED PRODUCTS,38553.65,36888.21,-4.32,9.68,March
2015-2016,2016,PLASTIC & RUBBER ARTICLES,14326.69,13760.68,-3.95,3.61,March
2015-2016,2016,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2373.87,2438.51,2.72,0.64,March
2015-2016,2016,PAPER & RELATED PRODUCTS,7636.46,7157.27,-6.28,1.88,March
2015-2016,2016,BASE METALS,27046.58,24703.68,-8.66,6.48,March
