hscode,hsdesc,latest_export_usd_mn,growth_5yr_pct,cagr_pct,volatility_pct,momentum_score
8707,"BODIES (INCLUDING CABS), FOR THE MOTOR    VEHICLES OF HEADINGS 8701 TO 8705",54.76,122.03,22.07,10.92,52.97
5703,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS(INCLUDING TURF), TUFTED, WHETHER OR NOT MADE UP",756.78,1.03,0.26,13.13,52.96
9030,"OSCLSCPS AND OTHR INSTRMNTS AND APRTS FR MSRNGCHKNG ELCTRCL QUNTTS,INSTRMNTS AND APRTS FR MSRNG/DTCTNG ALPHA,BTA,GMA,X",205.14,26.92,6.14,12.73,52.91
8457,"MACHINING CENTRES, UNIT CONSTRUCTION      MACHINES (SINGLE STATION) AND MULTI",93.80,344.48,45.20,53.57,52.84
6304,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404",1751.61,-20.11,-5.46,10.31,52.72
0909,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY; JUNIPER BERRIES",651.57,13.57,3.23,23.99,52.46
7102,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT  MOUNTED OR SET",12444.30,-51.01,-16.34,6.98,52.42
0409,NATURAL HONEY,207.97,26.99,6.16,14.09,52.28
8417,"INDUSTRIAL OR LABORATORY FURNACES AND     OVENS, INCLUDING INCINERATORS, NON",84.94,98.02,18.63,17.32,52.20
3506,PRPD GLUES AND OTHR PRPD ADHSVS NES/INCLDD  PRDCTS FOR USE AS GLUES/ADHSVS PUT UP FOR RETL SALE AS GLUES/ADHSVS NT EXCDN,125.38,28.59,6.49,8.42,52.15
3921,"OTHER PLATES, SHEETS, FILM, FOIL AND      STRIP, OF PLASTICS",411.77,1.66,0.41,9.59,52.11
5608,KNOTD NTNG OF TWNE CORDGE/ROPE;MDE UP     FSHNG NETSAND OTR MDE UP NETS OF TXTL MATRLS,101.80,28.97,6.57,6.50,52.07
8433,"HRVSTNG/THRSHNG MCHNRY INCL STRAW/FODR    BLRS;GRASS MOWRS;MCHNS FR CLNG,SRTNG EGGS,FRUIT/OTHR SMLR PRDC EXCL MCHNRY OF",113.31,24.02,5.53,6.21,52.01
3926,OTHER ARTICLES OF PLASTICS AND ARTICLES OF OTHER MATERIALS OF HEADINGS 3901 TO 3914,824.72,-7.90,-2.04,10.31,51.99
4010,CNVYR TRNSMSSN BLTS/BLTNG OF VULCNSD RUBR,200.85,16.60,3.91,8.72,51.84
3808,"INSCTCDS,RDNTCDS,FNGCDS,HRBCDS,ANTSPROUTNGPRDCTS AND PLNTGRWTH RGLTRS",3870.78,-20.90,-5.69,11.96,51.83
8515,"ELCTR(INCL ELCTACLLY HTD GAS)LASER/OTHR   LIGHT/PHOTON BEAM ETC,BRZNG/SLDRNG MCHNS  ETC FR HOT SPRYNG OF MTLS/CERMETS",84.34,41.80,9.12,8.54,51.67
6108,"WOMENS OR GIRLS SLIPS, PETTICOATS,      BRIEFS, PANTIES, NIGHT DRESSES, PYJAMAS,  NEGLIGEES, BATHROBES, DRESSING GOWNS",623.79,-0.63,-0.16,11.80,51.66
0408,"BIRDS EGGS, NOT IN SHELL, AND EGG YOLKS,  FRESH, DRIED, COOKED BY STEAMING OR BY    BOILING IN WATER, MOULDED, FROZEN OR",90.69,197.84,31.37,43.87,51.37
0406,CHEESE AND CURD,61.42,65.23,13.38,8.38,51.28
2938,"GLYCOSIDES, NATURAL OR REPRODUCED BY      SYNTHESIS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",77.43,103.08,19.38,18.11,51.27
3401,SOAPFORGNC SRFCE,159.02,16.40,3.87,6.93,51.23
3924,"TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD   ARTICLES AND TOILET ARTICLES, OF PLASTICS",250.27,1.89,0.47,5.90,51.18
9403,OTHER FURNITURE AND PARTS THEREOF,1110.18,-21.78,-5.96,8.02,51.18
8412,OTHER ENGINES AND MOTORS,720.52,8.64,2.09,24.34,51.15
3909,AMINO,210.17,9.86,2.38,7.41,51.12
8455,METAL,202.57,10.79,2.59,7.78,50.96
7601,UNWROUGHT ALUMINIUM,4277.11,-48.70,-15.37,8.22,50.87
5601,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5MM IN LENG (FLOCK), TEXTILE DUST A MIL NEPS",94.11,65.94,13.50,16.87,50.87
8701,TRACTORS (OTHER THAN TRACTORS OF HEADING  8709),1269.51,-8.09,-2.09,14.44,50.74
2914,"KTNS AND QUINONES,W/N WTH OTHR OXYGN FNCTN, THR HALGNTD SLPHNTD NITRTD/NITRSTD DRVTVS",564.40,-7.51,-1.93,9.73,50.68
8529,PRTS SUITBL FR USE SOLELY/PRNCPLLY        WTH APPRTS OF HDGS NOS 8525 TO 8528,269.06,16.91,3.98,14.16,50.55
8209,"PLTES STIKS TIPS AND LIKE FOR TLS,UNMOUNTD  OF CERMETS",107.59,24.37,5.60,7.08,50.54
2833,SULPHATES; ALUMS; PEROXOSULPHATES (       PERSULPHATES),161.76,16.47,3.88,7.80,50.53
8534,PRINTED CIRCUITS,175.39,36.19,8.03,17.40,50.50
3507,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE   SPECIFIED OR INCLUDED,108.65,54.14,11.42,17.10,50.21
0206,"EDBL OFFAL OF BOVINE ANMLS,SWINE,SHEEP,   GOAT,HORSE,ASS,MULE/HINNI,FRSH,CHLD/FRZN",344.53,15.81,3.74,17.78,50.12
9506,"ARTCLS AND EQPMNT FR GYMNSTCS,ATHLTCS,OTHR  SPORTS(INCL TABLETENNIS)/OUTDOOR GAMES,   N.E.S.;SWIMMING POOLS AND PADDLING",201.87,2.16,0.54,4.66,49.92
6107,"MENS/BOYS  UNDERPANTS,BRIEFS,NIGHTSHIRTS, PYJAMAS,BATHROBES ETC,KNTTD/CRCHTD",720.08,-0.11,-0.03,16.23,49.77
6402,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS,245.24,25.58,5.86,20.90,49.72
6214,"SHWLS,SCRVS,MUFLRS,MNTLS,VELS AND THE LIKE",312.50,6.05,1.48,11.83,49.48
5801,"WOVEN PILE FABRICS AND CHENILLE FABRICS,  OTHER THAN FABRICS OF HEADING 5802 OR 5806",62.02,42.65,9.29,6.94,49.36
3103,"MINERAL OR CHEMICAL FERTILISERS,          PHOSPHATIC",71.96,2329.02,122.00,105.48,49.28
1105,"FLOUR, MEAL, POWDER, FLAKES, GRANULES AND PELLETS OF POTATOES",73.49,518.79,57.72,69.08,49.21
2202,"WTRS,INCL MNRL WTRS,ARTD WTRS,CNTNG ADDED SUGAR/SWTNG MTR/FLVRD,OTHR NON ALCHLC BVRG NT INCL FRUIT,NUT/VEG JUICE OF 2009",86.70,89.63,17.35,26.83,49.16
7407,"COPPER BARS, RODS AND PROFILES",85.45,93.22,17.90,28.46,49.04
1518,"ANML,VEG/MICROB FAT,OIL,FRCN EXCL1516;INEDIBLE MXTR/PRPN_ANML,VEG/MICROB FAT/OIL/FRCTN OF DIFF FAT/OIL,NT ELS WHR SPECFD",64.00,199.40,31.54,25.55,48.87
5702,"CRPTS AND OTHR TXTL FLR CVRNGS,WVN NOT      TUFTED/FLOCKED,W/N MADE UP,INCL KELEM SCHUMACKS,KARA",694.35,-11.80,-3.09,10.92,48.75
3204,SYNTC ORGNC COLRNG MATR W/N CHMCLY DFND,2188.11,-28.86,-8.16,12.23,48.75
7323,"TABLE KITCHN OR OTHR DOMESTIC ARTCLS AND    ITSPARTS OF IRN/STL;IRN OR STL WOOL;      SCOURERS OR POLISHNG PADS,GLOVS AN",528.08,-21.57,-5.89,6.47,48.69
3816,REFRACTORY CEMENTS,76.38,25.29,5.80,5.57,48.65
1901,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, GROATS, MEAL, STARCH OR MALT EXTRACT, NOT CONTAINING COCOA OR CONTAINING LESS",136.41,5.31,1.30,3.85,48.62
6104,"WOMENS OR GIRLS SUITS, ENSEMBLES,       JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVE",619.77,-10.48,-2.73,10.65,48.59
3306,"PRPARTN FR ORL/DNTL HYGN,DNTUR FIXATV     PST/PWDR AND DNTL FLOS IN INDVDL PACKGS.",91.14,22.64,5.24,6.46,48.36
8531,ELCTRC SOUND/VISUAL SIGNLLNG APPRTS(E.G.  BELLS SIRENS ETC.)OTHR THN THOSE OF       HDG NO.8512/8530,82.16,48.72,10.43,13.95,48.33
3205,COLR LAKES,82.86,40.07,8.79,11.16,48.32
9406,PREFABRICATED BUILDINGS,94.93,58.79,12.26,20.84,48.03
3904,"POLYMERS OF VINYL CHLORIDE OR OF OTHER    HALOGENATED OLEFINS, IN PRIMARY FORMS",278.97,4.89,1.20,11.17,47.95
9505,"FESTIVE, CARNIVAL OR OTHER ENTERTAINMENT  ARTICLES, INCLUDING CONJURING TRICKS AND  NOVELTY JOKES",137.03,16.81,3.96,9.42,47.91
3403,LUBRCTNG PRPNS AND PRPNS FR THE TRTMNT OF   TXTL MATRLS LETHR FURSKNS/OTHR MATRLS NT  CNTNG 70% MORE BY WT PETROLM OIL E,67.22,85.74,16.74,17.11,47.84
8410,"HYDRAULIC TURBINES, WATER WHEELS,         ANDREGULATORS THEREFOR",68.16,67.81,13.82,14.41,47.83
0801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS,    FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",505.29,-3.48,-0.88,13.68,47.83
7303,"TUBES, PIPES AND HOLLOW PROFILES, OF CAST IRON",198.83,23.96,5.52,17.40,47.82
2912,"ALDHYDS,W/N WTH OTHR OXYGN FNCTN;CYCLIC   POLYMERS OF ALDEHYDES;PARAFORMALDEHYDE",203.05,13.62,3.24,11.98,47.81
