hscode,hsdesc,latest_import_usd_mn,growth_5yr_pct,export_offset_usd_mn,export_coverage_pct,dependence_score
9608,BALL POINT PENS; FELT TIPPED AND OTHER    POROUS,91.68,65.44,217.78,237.55,34.36
7410,"COPPER FOIL(W/N PRINTD OR BACKD WTH PAPR, PAPRBORD,PLSTCS OR SMLR BACKING MATERLS)  OF A THICKNESS(EXCL BACKING)<=0.15 M",114.14,15.66,54.28,47.55,34.26
6205,MENS OR BOYS SHIRTS,121.35,47.77,951.66,784.21,33.83
3918,"FLR COVERING OF PLSTCS,W/N SELF",81.70,50.29,71.66,87.72,33.82
5509,"YARN(OTHR THN SWNG THREAD)OF SYNTHTC      STAPLE FIBRES,NOT PUT UP FOR RETAIL SALE",235.68,-2.42,427.12,181.23,33.72
8423,"WEIGHING MACHINERY (EXCLUDING BALANCES OF A SENSITIVITY OF 5 CENTIGRAMS OR BETTER), INCLUDING WEIGHT OPERATED COUNTING O",107.66,20.27,55.43,51.49,33.62
1201,"SOYA BEANS, WHETHER OR NOT BROKEN",143.62,-74.13,12.49,8.70,33.31
2912,"ALDHYDS,W/N WTH OTHR OXYGN FNCTN;CYCLIC   POLYMERS OF ALDEHYDES;PARAFORMALDEHYDE",215.42,-23.41,203.05,94.26,32.78
0806,"GRAPES, FRESH OR DRIED",141.54,26.97,397.51,280.86,32.69
5306,FLAX YARN,75.16,30.35,24.02,31.96,32.46
0303,FISH FROZEN EXCLUDING FISH FILLETS AND      OTHER FISH MEAT OF HEADING NO 0304,74.23,111.76,621.06,836.66,32.40
4011,"NEW PNEUMATIC TYRES, OF RUBBER",255.34,2.45,3090.16,1210.20,32.30
8416,"FURNC BURNRS FR LIQUID FUEL,FR PULVRSD    SOLID FUEL/FR GAS;MCHNCL STOKRS,MCHNCL    GRTS,MCHNCL ASH DISCHRGS AND SMLR AP",67.98,44.17,33.09,48.67,32.18
3924,"TABLEWARE, KITCHENWARE, OTHER HOUSEHOLD   ARTICLES AND TOILET ARTICLES, OF PLASTICS",89.75,57.75,250.27,278.85,31.97
7324,"SANITARY WARE AND PARTS THEREOF, OF IRON  OR STEEL",61.36,38.00,18.54,30.21,31.62
8111,"MANGANESE AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",112.14,-34.32,6.75,6.02,31.55
2826,"FLUORIDES; FLUOROSILICATES,               FLUOROALUMINATES AND OTHER COMPLEX        FLUORINE SALTS",96.50,6.45,24.20,25.07,31.52
6105,"MENS/BOYS SHIRTS,KNITTED/CROCHETED",77.35,82.64,699.57,904.39,31.50
3806,"ROSIN AND RESIN ACIDS, AND DERIVATIVES    THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS",99.55,-15.72,7.84,7.88,31.29
3401,SOAPFORGNC SRFCE,191.83,-26.62,159.02,82.90,31.17
2849,"CARBIDES, WHETHER OR NOT CHEMICALLY       DEFINED",100.31,-1.42,17.75,17.70,30.96
3204,SYNTC ORGNC COLRNG MATR W/N CHMCLY DFND,297.62,-22.31,2188.11,735.19,30.78
2712,"PETRLM JELLY,PRAFFIN WAX,MICR",157.67,-3.00,135.86,86.16,30.71
2931,OTHER ORGANO,201.89,-27.15,212.05,105.03,30.64
1302,VEG SAPS AND EXTRCTS;PECTC SUBSTNCS PECTNATSPECTTS;AGAR,125.64,32.40,1106.04,880.34,30.55
3212,PIGMNTS(INCL METLC POWDR AND FLKS) DSPRSD   IN NON,90.82,25.26,61.65,67.89,30.53
3816,REFRACTORY CEMENTS,138.56,-4.76,76.38,55.12,30.31
3201,TANING EXTRCS OF VEGTBL ORGN TANIS AND THEIRSALT ETHRS ESTRS AND OTHR DERIVTS,77.29,3.73,6.81,8.81,30.23
8101,"TUNGSTEN (WOLFRAM) AND ARTICLES THEREOF,  INCLUDING WASTE AND SCRAP",53.89,122.47,127.74,237.03,30.21
8104,"MAGNESIUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",101.96,-27.01,10.10,9.91,30.10
8407,SPARK,281.78,-47.48,599.76,212.85,30.08
0805,"CITRUS FRUIT, FRESH OR DRIED",102.60,-0.22,28.07,27.35,29.92
8510,"SHAVERS, HAIR CLIPPERS AND HAIR",80.85,0.04,6.96,8.61,29.82
5911,"TEXTILE PRODUCTS AND ARTICLES, FOR        TECHNICAL USES, SPECIFIED IN NOTE 8 TO    THIS CHAPTER",101.73,20.94,95.30,93.68,29.70
2403,OTHR MNFRD TOBACO AND MNFRD TOBACO          SUBSTTUTSHOMOGENISED OR RECONSTITUED      TOBACCO       TOBACCO EXTRACTS AND,61.32,107.96,446.56,728.22,29.69
3804,RSDUL LYES FROM MNFCTR OF WOOD PULP,58.59,11.19,3.22,5.50,29.69
8526,"RADAR APPARATUS, RADIO NAVIGATIONAL AID   APPARATUS AND RADIO REMOTE CONTROL        APPARATUS",192.45,-53.50,140.60,73.06,29.67
0910,"GINGER, SAFFRON, TURMERIC (CURCUMA),      THYME, BAY LEAVES, CURRY AND OTHER SPICES",110.43,34.48,722.52,654.28,29.39
5607,"TWNE,CORDGE,ROP AND CBLS,W/N PLTD/BRDD AND W/ NIMPRGNTD,COTD,COVRD/SHTHD WTH RUBR/PLSTCS",69.95,62.49,154.03,220.20,29.37
7009,GLSS MIRORS W/N FRMD INCL REAR VIEW MIRORS,84.11,31.49,75.52,89.78,29.24
6206,"WOMENS OR GIRLS BLOUSES, SHIRTS AND     SHIRT",56.54,135.88,1020.02,1804.08,28.96
1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED ( WITH MEAT OR OTHER SUBSTANCES) OR         OTHERWISE PREPARED, SUCH AS SPAGHETT",52.96,71.03,62.95,118.87,28.84
8208,"KNIVES AND CUTTING BLADES, FOR MACHINES OR FOR MECHANICAL APPLIANCES",70.41,33.89,48.91,69.47,28.46
1516,"ANML/VEG/MICROBL FATS,OILS,ITS FRCTN PRTLY/WHLY HYDROGNTD INTR",76.89,40.85,109.70,142.68,28.25
8509,ELCTRO,70.42,40.84,74.18,105.34,28.05
9603,"BROOMS, BRUSHES (INCLUDING BRUSHES        CONSTITUTING PARTS OF MACHINES, APPLIANCES OR VEHICLES), HAND",109.54,10.91,123.66,112.89,27.49
7229,WIRE OF OTHER ALLOY STEEL,89.36,-12.28,14.00,15.67,27.36
8205,"HND TOOLSN.E.S.  BLOW LAMPS;VICES,CLAMPS,OTHR THN ACSORS PRTS OF MACH",85.58,33.80,160.65,187.72,27.32
4008,"PLATS,SHTS,STRP,RODS AND PROFILE SHAPES OF  VULCNSD RUBR OTHR THN HARD RUBR",55.76,70.80,128.11,229.76,27.31
5309,WOVEN FABRICS OF FLAX,55.36,67.78,99.41,179.56,27.22
4821,PAPR OR PAPRBORD LABELS W/N PRINTED,93.94,-1.49,34.59,36.82,26.74
8311,"WIRE,RODS,ELCTRDS ETC OF BS MTL/MTL CRBIDSCOATD/CORED WTH FLX MTRL FR SLDRNG BRAZNG ETC OF MTL/MTL CRBDS WIRE ETC FR MTL",111.14,2.68,88.08,79.25,26.61
8705,"SPCL PURPOSE MOTOR VHCLS(E.G.BRKDOWN      LORRIES,CRANE LORRIES,FIRE",58.19,67.36,192.25,330.37,26.56
9616,"SCENT SPRAYS AND SMLR TOILT SPRYS,AND MOUNTS ANDHEADS THEREFOR;PWDR",56.12,6.92,4.57,8.14,26.56
7306,"OTHER TUBES, PIPES AND HOLLOW PROFILES (  FOR EXAMPLE, OPEN SEAM OR WELDED, RIVETED OR SIMILARLY CLOSED), OF IRON OR STE",203.78,-29.41,771.59,378.64,26.53
8449,MCHNRY FR MNFCTR OF FINSHNG OF FELT OR    NON,73.35,-31.80,0.80,1.08,26.51
7205,"GRNL AND PWDR,OF PIG IRON,SPGLSN,IRON/STEEL",90.42,1.60,35.33,39.07,26.51
4015,"ARTCL OF APARL AND CLOTHING ACCESSORIES     (INCL. GLOVES, MITTENS AND MITTS) FOR ALL  PURPOSE OF VULCANISED RUBR NOT HA",143.84,-60.94,75.15,52.24,26.50
8522,PRTS AND ACSSRS OF APPRTS OF HDGS NOS.      8519 TO 8521,59.46,-9.90,0.29,0.49,26.48
7302,"RLY AND TRMY TRACK CONSTRCTN MATRL OF IRON  OR STL,E.G.RALS,RACK RALS ETC SWTCH BLADS SLEEPRS,TIES AND OTHR MATRL FOR FI",93.70,2.49,47.54,50.74,26.33
3802,ACTVTD CRBN,103.83,25.19,577.93,556.62,26.20
7314,"CLOTH (INCLUDING ENDLESS BANDS), GRILL,   NETTING AND FENCING, OF IRON OR STEEL     WIRE; EXPANDED METAL OF",55.81,35.53,33.15,59.41,26.12
8485,"*MCHNRY PRTS,NT CONTNG ELCTRCL CONNCTRS,   INSULTRS,COILS,CONTCTS/OTHR ELCTRCL       FEATRS N.E.S.",58.37,0.00,2.24,3.84,26.05
4107,"LEATHER FURTHER PREPARED AFTER TANNING OR CRUSTING, INCLUDING PARCHMENT",167.65,-23.42,242.35,144.56,26.02
8716,TRAILERS AND SEMI,89.60,29.28,207.77,231.89,26.02
8521,"VIDEO RECORDING OR REPRODUCING APPARATUS, WHETHER OR NOT INCORPORATING A VIDEO TUNER",50.83,7.62,3.20,6.30,25.97
9612,"TYPEWRITER OR SIMILAR RIBBONS, INKED OR   OTHERWISE PREPARED FOR GIVING IMPRESSIONS, WHETHER OR NOT ON SPOOLS OR IN CART",50.66,10.28,5.02,9.91,25.88
7419,OTHER ARTICLES OF COPPER,97.02,24.74,287.59,296.41,25.80
8704,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS,96.10,31.45,1544.45,1607.06,25.54
2935,SULPHONAMIDES,98.46,25.08,368.52,374.28,25.50
2803,CARBON (CARBON BLACKS AND OTHER FORMS OF  CARBON NOT ELSEWHERE SPECIFIED OR         INCLUDED),174.90,-19.11,498.87,285.23,25.37
2805,ALKALI OR ALKALINE,67.12,-27.05,0.86,1.28,25.26
3809,"RODENTICIDES AND OTHER SIMILAR PREPARATIONPRPRTN,USD IN TXTL,PAPR AND SMLR INDSTRS,NES",118.15,-19.47,75.20,63.65,25.07
8212,RAZORS AND RAZOR BLADES (INCLUDING RAZOR  BLADE BLANKS IN STRIPS),68.83,30.72,71.56,103.96,25.06
6403,"FTWEAR WTH OUTR SOLES OF RUBR,PLSTCS,     LTHR/CMPSTN LTHR AND UPPRS OF LTHR",87.05,35.81,1694.07,1946.08,24.79
6212,"BRSSRS,GRDLS,CORSTS,BRCS,SUSPNDRS,GRTRS AND SMLR ARTCLS AND PRTS THROF,W/N KNTD/CROCHTD",71.42,17.85,46.86,65.61,24.64
6109,T,141.35,5.12,2369.47,1676.35,24.63
7508,OTHER ARTICLES OF NICKEL,55.48,26.91,27.74,50.00,24.51
2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER  OR NOT CALCINED",75.97,12.09,53.70,70.68,24.51
5307,YARN OF JUTE OR OF OTHER TEXTILE BAST     FIBRES OF HEADING 5303,60.92,9.05,17.50,28.72,24.48
2925,CRBOXYIMD,68.43,40.36,155.70,227.52,24.48
8450,HOUSEHOLD OR LAUNDRY,137.36,-38.09,104.46,76.05,24.46
6201,"MEN/BOY OVRCOT,CARCOT,CAPE,CLOAK  ANORAK(INCL SKIJACKETS),WIND CHETRS,WINDJACKET AND SMLR ARTCL EXCL THOSE OF HEAD 6203",51.02,34.52,32.08,62.87,24.43
5601,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBRES, NOT EXCEEDING 5MM IN LENG (FLOCK), TEXTILE DUST A MIL NEPS",66.20,35.97,94.11,142.16,24.21
3914,"ION EXCHANGERS BASED ON POLYMERS OF       HEADINGS 3901 TO 3913, IN PRIMARY FORMS",74.32,26.01,93.17,125.36,24.12
9013,"LASERS,OTHR THN LASER DIODES,OTHER OPTICAL APPLIANCES AND INSTRUMENTS,NOT SPECIFIED OR INCLUDED IN THIS CHAPTER",107.43,-63.74,34.12,31.76,24.03
8402,STM/OTHR VAPR GNRTNG BOILRS(EXCL CNTRL    HTNG HOT WATER BOILRS CPBL ALSO OF PRDCNG LOW PRESSURE STEAM);SUPER,79.85,33.26,277.19,347.15,24.00
8406,STEAM TURBINES AND OTHER VAPOUR TURBINES,127.77,-12.47,156.24,122.29,23.93
9607,SLIDE FASTENERS AND PARTS THEREOF,71.43,2.30,23.04,32.25,23.54
7220,FLAT,157.56,-56.34,201.77,128.06,23.40
4901,"PRINTED BOOKS, BROCHURES, LEAFLETS AND    SIMILAR PRINTED MATTER, WHETHER OR NOT IN SINGLE SHEETS",102.90,11.15,349.47,339.63,23.37
5806,NARROW WOVEN FABRICS OTHER THAN GOODS OF  HEADING 5807; NARROW FABRICS CONSISTING OF WARP WITHOUT WEFT ASSEMBLED,100.05,-8.67,77.37,77.33,22.88
5510,YARN(OTHR THN SWNG THREAD)OF ARTFCL       STAPLE FIBRES NOT PUT UP FR RTL SALE,116.86,-32.58,88.54,75.77,22.79
